COMARCA,CULTIU,CAMPANYA,HA_IRTA_R,HA_IRTA_S,HA_DARPA_R,HA_DARPA_S,PROD_IRTA(t)_R,PROD_IRTA(t)_S,PROD_IRTA(t/ha)_R,PROD_IRTA(t/ha)_S,PROD_DARPA(t)_R,PROD_DARPA(t)_S,PROD_DARPA(t/ha)_R,PROD_DARPA(t/ha)_S
Baix Llobregat,BLAT,2024,7.6748,12.7653,8.0,13.0,24.76721973511023,22.00067482645801,3.161789052305036,1.5949985081589004,48.0,48.1,6.0,3.7
Baix Llobregat,BLAT,2025,2.475090626886024,52.099430193545146,2.47,72.32,11.183096518856246,182.4339208044389,4.439675840173522,3.6329234364154375,17.04,310.98,6.898785425101214,4.300055309734514
Baix Llobregat,BLAT,2026,,55.40095360935863,,,,187.29586133071825,,3.38073352764598,,,,
Baix Llobregat,BLAT DE MORO,2025,26.03083095949501,0.113644221996746,,,153.32773648395883,0.7898371619748749,6.034813329170435,6.950086402082901,,,,
Baix Llobregat,ORDI,2024,,219.1084,,196.0,,846.5990916863844,,3.9254977826410618,,607.6,,3.1
Baix Llobregat,ORDI,2025,,165.91997596951447,,148.52,,742.9792519425466,,4.317514154962008,,549.52,,3.699973067600322
Baix Llobregat,ORDI,2026,1.934995365470195,235.9834348044918,,,9.300046695990943,1056.435715327342,4.806237194129441,4.476736751469783,,,,
Baix Penedès,BLAT,2023,7.33100769132,50.1693197903895,7.0,53.0,3.5989129409565352,1.757409246625237,0.5244657589777297,0.0217080510926516,10.458,18.656,1.494,0.352
Baix Penedès,BLAT,2024,0.3338,48.3514,,48.0,1.200687081804864,84.53499899030169,3.597025409840815,1.6476160521121694,,17.76,,0.37
Baix Penedès,BLAT,2025,2.858365933451331,70.15960674349047,,75.74000000000001,9.96959260850489,120.27590087862905,3.4926448324333594,1.9095411899278951,,219.11,,2.8929231581726955
Baix Penedès,BLAT,2026,1.351491113447556,72.48750177246902,,,5.416920797463365,241.94264018030813,4.008106855875057,3.3377152511027592,,,,
Baix Penedès,BLAT DE MORO,2026,1.49716535254155,,,,13.014417515644388,,8.692705514158101,,,,,
Baix Penedès,ORDI,2023,19.193034078397,308.1767175859765,19.0,306.0,52.98553261663495,89.27476770994218,2.7460836409727785,0.3191154465363212,32.015,121.482,1.685,0.397
Baix Penedès,ORDI,2024,11.573,285.4688,5.0,294.0,63.56185106279479,844.4455743327793,5.744579306361708,2.857706420749844,8.5,112.82,1.7,0.3837414965986394
Baix Penedès,ORDI,2025,16.476511067061505,376.5404148143774,,380.7,89.00228996965387,1223.2407600306256,5.437934921025739,3.240795556650963,,1104.49,,2.9012083004990807
Baix Penedès,ORDI,2026,14.979345766556117,383.5820613434096,,,88.30234026141802,1405.6463322630916,5.89493971482838,3.6645257271420166,,,,
Barcelonès,ORDI,2024,11.254,,11.0,,72.0868074162603,,6.221749751797972,,57.2,,5.2,
Barcelonès,ORDI,2025,12.567686423594616,,12.54,,79.04028382039519,,6.169522760038675,,70.22,,5.5996810207336525,
Barcelonès,ORDI,2026,12.567692289795596,,,,69.25709060052723,,5.510724562914457,,,,,
Berguedà,BLAT,2023,5.6446281278742,2541.1343608893712,6.0,1916.0,43.1229151232964,11366.456618821405,7.825394958372488,4.433363230639481,31.2,3908.64,5.2,2.04
Berguedà,BLAT,2024,9.977,2578.9969,10.0,2578.0,72.79003115510982,14717.430429245238,7.331510198171137,5.651437846786057,47.0,9657.188,4.7,3.746
